AIRPORT_TYPE,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,SERVICE_CLASS,REV_ACRFT_DEP_PERF_510,REV_ENP_FREIGHT_217,REV_ENP_MAIL_219
D,12992,LIT,"Little Rock, AR",K,458.00,7.00,0.00
D,12954,LGB,"Long Beach, CA",K,122.00,0.00,0.00
D,12892,LAX,"Los Angeles, CA",K,7503.00,7397.00,3052.00
D,14730,SDF,"Louisville, KY",K,545.00,10.00,0.00
D,13485,MSN,"Madison, WI",K,389.00,4.00,0.00
D,13244,MEM,"Memphis, TN",K,740.00,57.00,0.00
D,13303,MIA,"Miami, FL",K,2072.00,392.00,363.00
D,13342,MKE,"Milwaukee, WI",K,896.00,40.00,72.00
D,13487,MSP,"Minneapolis, MN",K,14160.00,1960.00,1715.00
D,13277,MGM,"Montgomery, AL",K,3.00,,
D,10693,BNA,"Nashville, TN",K,1452.00,31.00,25.00
D,13495,MSY,"New Orleans, LA",K,1424.00,31.00,20.00
D,12478,JFK,"New York, NY",K,8474.00,11062.00,2853.00
D,12953,LGA,"New York, NY",K,6118.00,130.00,103.00
D,11618,EWR,"Newark, NJ",K,1061.00,99.00,176.00
D,13931,ORF,"Norfolk, VA",K,565.00,19.00,0.00
D,13796,OAK,"Oakland, CA",K,231.00,0.00,0.00
D,15919,XNA,"Fayetteville, AR",K,128.00,0.00,0.00
D,13851,OKC,"Oklahoma City, OK",K,392.00,22.00,0.00
D,13871,OMA,"Omaha, NE",K,393.00,9.00,9.00
D,13891,ONT,"Ontario, CA",K,357.00,15.00,39.00
